NoseX,NoseY,NeckX,NeckY,RShoulderX,RShoulderY,RElbowX,RElbowY,RWristX,RWristY,LShoulderX,LShoulderY,LElbowX,LElbowY,LWristX,LWristY,RHipX,RHipY,RKneeX,RKneeY,RAnkleX,RAnkleY,LHipX,LHipY,LKneeX,LKneeY,LAnkleX,LAnkleY,REyeX,REyeY,LEyeX,LEyeY,REarX,REarY,LEarX,LEarY,BackgroundX,BackgroundY
563,417,540,667,680,667,704,834,704,1085,422,626,375,834,375,1043,633,1043,446,1335,446,1586,446,1043,446,1293,0,0,0,0,586,417,610,500,610,459,1056,1878
0,0,540,667,680,667,704,834,704,1085,422,626,375,834,375,1043,633,1043,446,1335,446,1586,446,1043,422,1293,0,0,0,0,563,417,610,500,610,459,1056,1878
0,0,540,667,680,667,704,834,704,1085,422,626,375,834,375,1043,633,1043,446,1335,446,1586,446,1043,422,1293,0,0,0,0,563,417,610,500,610,459,1056,1878
0,0,563,667,680,667,704,834,704,1085,422,626,375,834,375,1043,633,1043,446,1335,446,1586,446,1043,422,1293,0,0,0,0,0,0,610,500,516,459,1056,1878
0,0,563,667,680,667,704,834,704,1085,422,626,375,834,375,1043,633,1043,446,1335,446,1586,446,1043,422,1293,0,0,0,0,0,0,610,500,516,459,1056,1878
0,0,563,667,680,667,704,834,704,1085,422,626,375,834,375,1043,633,1043,446,1335,446,1586,446,1043,422,1293,446,1586,0,0,0,0,610,500,516,459,1056,1878
0,0,563,667,680,667,704,834,704,1085,422,626,375,834,375,1043,610,1043,446,1335,446,1586,446,1043,422,1293,446,1586,0,0,0,0,610,500,0,0,1056,1878
0,0,563,667,680,667,704,834,704,1085,422,626,375,834,375,1043,610,1043,446,1335,446,1586,446,1043,422,1293,446,1586,0,0,563,417,610,500,610,459,1056,1878
0,0,563,667,680,667,704,834,704,1085,422,626,375,834,375,1043,610,1043,446,1335,446,1586,446,1043,422,1293,446,1586,0,0,586,417,610,500,610,459,1056,1878
0,0,563,667,680,667,704,834,704,1085,422,626,375,834,375,1043,610,1043,446,1335,446,1586,446,1043,422,1293,446,1586,0,0,0,0,610,500,610,459,1056,1878
0,0,563,667,680,667,704,834,704,1085,422,626,375,834,375,1043,610,1043,446,1335,446,1586,446,1001,422,1293,446,1586,0,0,586,417,610,500,610,459,1056,1878
0,0,563,667,680,667,704,834,704,1085,422,626,375,834,375,1043,610,1043,446,1335,446,1586,446,1001,422,1293,446,1586,0,0,586,417,610,500,610,459,1056,1878
0,0,563,667,680,667,704,834,704,1085,422,626,375,834,375,1043,610,1043,446,1335,446,1586,446,1001,422,1293,446,1586,0,0,586,417,610,500,610,459,1056,1878
563,417,540,667,680,667,704,834,704,1085,422,626,375,834,375,1043,610,1043,610,1252,446,1586,446,1001,422,1293,446,1586,540,417,586,417,610,500,610,459,1056,1878
