NoseX,NoseY,NeckX,NeckY,RShoulderX,RShoulderY,RElbowX,RElbowY,RWristX,RWristY,LShoulderX,LShoulderY,LElbowX,LElbowY,LWristX,LWristY,RHipX,RHipY,RKneeX,RKneeY,RAnkleX,RAnkleY,LHipX,LHipY,LKneeX,LKneeY,LAnkleX,LAnkleY,REyeX,REyeY,LEyeX,LEyeY,REarX,REarY,LEarX,LEarY,BackgroundX,BackgroundY
0,0,540,1043,563,1043,0,0,0,0,516,1043,0,0,0,0,0,0,0,0,0,0,0,0,516,1210,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,0,0,540,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,1210,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,1210,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,0,0,540,1001,0,0,0,0,493,1001,0,0,0,0,540,1085,540,1210,540,1293,0,0,516,1210,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,1794
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,1168,540,1293,0,0,516,1168,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,516,960,540,960,0,0,0,0,493,960,0,0,0,0,540,1085,540,1168,540,1293,516,1085,516,1168,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,516,960,540,960,0,0,0,0,493,960,0,0,0,0,540,1085,540,1168,540,1293,516,1085,516,1168,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,516,960,540,1001,0,0,0,0,493,1001,0,0,0,0,540,1085,540,1168,540,1293,516,1085,516,1168,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,516,960,0,0,0,0,0,0,493,1001,0,0,0,0,0,0,540,1168,540,1293,0,0,516,1168,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,516,960,0,0,0,0,0,0,493,1001,0,0,0,0,0,0,540,1168,540,1293,0,0,516,1168,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,1168,540,1293,0,0,516,1168,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,0,0,0,0,0,0,0,0,493,1001,0,0,0,0,0,0,540,1168,540,1293,0,0,516,1168,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,540,1001,563,1001,0,0,0,0,493,1001,0,0,0,0,540,1085,540,1210,540,1293,516,1085,516,1168,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,0,0,0,0,0,0,0,0,493,1001,0,0,0,0,0,0,540,1168,540,1293,0,0,516,1168,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,540,1001,563,1001,0,0,0,0,493,1001,493,1043,0,0,540,1085,540,1210,540,1293,516,1085,516,1168,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,540,1001,563,1001,0,0,0,0,493,1001,493,1043,0,0,540,1085,540,1210,540,1293,516,1085,516,1168,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,540,1001,563,1001,0,0,0,0,493,1001,0,0,0,0,0,0,540,1168,540,1293,0,0,516,1168,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,1794
0,0,540,960,0,0,0,0,0,0,516,1001,0,0,0,0,0,0,0,0,0,0,0,0,516,1168,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,540,1001,0,0,0,0,0,0,516,1001,0,0,0,0,0,0,0,0,0,0,0,0,516,1168,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,540,1001,0,0,0,0,0,0,516,1001,0,0,0,0,0,0,0,0,0,0,0,0,516,1168,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,0,0,0,0,0,0,0,0,516,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,1794
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,1794
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,1794
0,0,0,0,0,0,0,0,0,0,516,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,1794
0,0,540,960,563,960,0,0,0,0,516,960,493,1043,0,0,563,1085,0,0,0,0,516,1085,516,1168,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,540,960,563,960,0,0,0,0,516,960,493,1043,0,0,563,1085,563,1168,0,0,516,1085,516,1168,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,540,960,586,960,586,1043,0,0,516,960,493,1043,0,0,563,1085,563,1168,0,0,516,1085,516,1168,516,1293,0,0,0,0,0,0,540,918,1033,1794
0,0,540,960,586,960,586,1001,0,0,516,960,493,1043,493,1043,563,1085,563,1210,563,1293,516,1085,516,1168,516,1293,0,0,0,0,563,918,540,918,1033,1794
0,0,540,960,586,960,586,1043,0,0,516,960,493,1043,493,1043,563,1085,563,1168,563,1293,516,1085,516,1168,516,1293,0,0,0,0,0,0,540,918,1033,1794
0,0,540,960,563,960,586,1001,0,0,516,960,493,1043,0,0,563,1085,563,1168,563,1293,516,1085,516,1168,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,540,960,586,960,586,1043,0,0,516,960,493,1043,0,0,563,1085,563,1168,563,1293,516,1085,516,1168,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,540,960,586,960,586,1043,0,0,516,960,493,1043,0,0,563,1085,563,1210,563,1293,516,1085,516,1168,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,540,960,586,960,586,1001,0,0,516,960,493,1043,0,0,563,1085,563,1210,563,1293,516,1085,516,1168,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,540,960,586,960,586,1001,0,0,516,960,493,1043,0,0,563,1085,563,1210,563,1293,516,1085,516,1168,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,540,960,586,960,586,1043,0,0,516,960,493,1043,0,0,563,1085,563,1210,563,1293,516,1085,516,1168,516,1293,0,0,0,0,563,918,540,918,1033,1794
0,0,540,960,586,960,586,1043,0,0,516,960,493,1043,0,0,563,1085,563,1210,563,1293,516,1085,516,1168,516,1293,0,0,0,0,563,918,540,918,1033,1794
0,0,540,960,586,960,586,1001,0,0,516,960,493,1043,0,0,563,1085,563,1210,586,1293,516,1085,516,1168,516,1293,0,0,0,0,563,918,540,918,1033,1794
0,0,540,960,586,960,586,1043,0,0,516,960,493,1043,0,0,563,1085,563,1210,563,1293,516,1085,516,1168,516,1293,0,0,0,0,563,918,540,918,1033,1794
0,0,540,1001,563,1001,0,0,0,0,516,1001,493,1043,0,0,563,1085,563,1168,0,0,516,1085,516,1168,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,540,1001,0,0,0,0,0,0,516,1001,0,0,0,0,0,0,0,0,0,0,0,0,516,1168,0,0,0,0,0,0,0,0,0,0,1033,1794
0,0,540,1001,563,1001,0,0,0,0,516,1001,0,0,0,0,563,1085,563,1168,0,0,0,0,516,1168,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,540,1001,0,0,0,0,0,0,516,1001,0,0,0,0,0,0,563,1168,0,0,0,0,516,1168,0,0,0,0,0,0,0,0,0,0,1033,1794
0,0,540,960,563,960,586,1001,0,0,516,960,493,1043,0,0,563,1085,563,1168,563,1293,516,1085,516,1168,516,1293,0,0,0,0,0,0,540,918,1033,1794
0,0,540,960,563,960,586,1001,0,0,516,960,493,1043,0,0,563,1085,563,1168,563,1293,516,1085,516,1168,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,540,1001,563,1001,586,1043,0,0,516,1001,493,1043,0,0,563,1085,563,1168,563,1293,516,1085,516,1168,516,1293,0,0,0,0,0,0,516,960,1033,1794
0,0,540,1001,563,1001,586,1043,0,0,493,1001,493,1043,0,0,563,1085,563,1210,563,1293,516,1085,516,1168,516,1293,0,0,0,0,563,918,516,918,1033,1794
0,0,540,1001,563,1001,586,1043,0,0,493,1001,493,1043,0,0,563,1085,540,1168,563,1293,516,1085,516,1168,516,1293,0,0,0,0,540,918,516,918,1033,1794
0,0,540,1001,563,1001,563,1043,0,0,493,1001,493,1043,0,0,540,1085,540,1210,540,1293,516,1085,516,1168,516,1293,0,0,0,0,540,918,516,918,1033,1794
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,1794
0,0,516,960,563,960,563,1043,0,0,493,1001,493,1043,0,0,540,1085,563,1210,540,1293,516,1085,516,1210,516,1293,0,0,0,0,540,918,516,918,1033,1794
0,0,516,1001,540,1001,0,0,0,0,493,1001,0,0,0,0,540,1085,540,1210,540,1293,516,1085,516,1210,516,1293,0,0,0,0,0,0,0,0,1033,1794
0,0,516,1001,563,960,563,1043,0,0,493,1001,469,1043,0,0,540,1085,540,1210,540,1293,516,1085,516,1210,516,1293,0,0,0,0,540,918,516,918,1033,1794
0,0,516,960,563,960,563,1043,0,0,493,960,469,1043,0,0,540,1085,540,1210,540,1293,516,1085,516,1210,516,1293,0,0,0,0,540,918,516,918,1033,1794
0,0,516,960,540,960,563,1043,0,0,493,960,469,1043,0,0,540,1085,540,1210,540,1293,493,1085,493,1168,516,1293,0,0,0,0,0,0,516,918,1033,1794
