NoseX,NoseY,NeckX,NeckY,RShoulderX,RShoulderY,RElbowX,RElbowY,RWristX,RWristY,LShoulderX,LShoulderY,LElbowX,LElbowY,LWristX,LWristY,RHipX,RHipY,RKneeX,RKneeY,RAnkleX,RAnkleY,LHipX,LHipY,LKneeX,LKneeY,LAnkleX,LAnkleY,REyeX,REyeY,LEyeX,LEyeY,REarX,REarY,LEarX,LEarY,BackgroundX,BackgroundY
469,216,493,396,352,432,328,648,727,828,610,396,680,612,328,864,446,828,446,1152,446,1440,610,828,633,1152,657,1404,446,216,493,216,422,216,540,216,0,1620
469,216,493,396,352,432,328,648,727,828,610,396,680,612,328,864,446,828,446,1152,446,1440,610,828,633,1152,657,1404,446,216,493,216,422,216,540,216,0,1620
469,216,493,396,375,432,328,648,727,828,610,396,680,612,328,864,446,828,446,1116,446,1404,610,828,633,1152,657,1440,469,216,493,216,422,216,540,216,0,1620
493,216,493,396,375,432,328,648,727,828,610,396,680,612,328,864,446,828,446,1116,469,1404,610,828,633,1152,657,1404,469,216,516,216,422,216,540,216,0,1620
493,216,493,396,375,432,328,648,727,828,610,396,680,612,328,864,446,828,446,1116,469,1404,610,828,633,1152,657,1404,469,216,516,216,422,216,540,216,0,1620
469,252,493,396,375,432,328,648,328,828,610,396,680,612,727,828,446,828,446,1116,446,1404,610,828,633,1152,657,1404,469,216,493,216,422,216,540,216,0,1620
469,252,493,396,375,432,328,648,328,828,610,396,680,612,727,828,446,828,446,1116,469,1440,610,828,633,1152,657,1440,469,216,493,216,422,216,540,216,0,1620
469,252,493,396,375,432,328,648,328,828,610,396,680,612,727,828,446,828,446,1116,469,1440,610,828,633,1152,657,1404,469,216,493,216,422,216,540,216,0,1620
493,252,493,396,375,432,328,648,328,828,610,396,680,612,727,828,446,828,446,1116,469,1440,610,828,633,1152,657,1404,469,216,516,216,422,252,540,216,0,1620
493,252,493,396,375,432,328,648,328,828,610,396,680,612,727,828,446,828,446,1116,469,1440,610,828,633,1152,657,1404,469,216,516,216,422,252,540,216,0,1620
493,252,493,396,375,432,328,648,328,828,610,396,680,612,727,828,446,828,446,1152,469,1404,610,828,633,1152,657,1440,469,216,516,216,422,252,540,216,0,1620
493,252,493,396,375,432,328,648,328,864,610,396,680,612,727,828,446,828,446,1152,469,1440,610,828,633,1152,657,1440,469,216,516,216,422,252,540,216,0,1620
493,252,493,396,375,432,328,648,328,864,610,396,680,612,727,864,446,828,446,1116,469,1440,610,828,633,1152,657,1440,469,216,516,216,422,252,540,216,0,1620
493,252,493,396,375,432,328,648,328,864,610,396,680,612,727,828,446,828,446,1116,469,1440,610,828,633,1152,657,1440,469,216,516,216,422,252,540,216,0,1620
493,252,493,396,375,432,328,648,328,864,610,396,680,612,727,828,446,828,446,1116,469,1440,610,828,633,1152,657,1440,469,216,516,216,422,252,540,216,0,1620
493,252,493,396,375,432,328,648,328,828,610,396,680,612,727,828,446,828,446,1116,469,1440,610,828,633,1152,657,1440,469,216,516,216,422,252,540,216,0,1620
493,252,493,396,375,432,328,648,328,828,610,396,680,612,727,828,446,828,446,1152,469,1440,610,828,633,1152,657,1440,469,216,516,216,422,252,540,216,0,1620
493,252,493,396,375,432,328,648,328,828,633,432,680,612,727,828,446,828,446,1152,469,1440,610,828,633,1152,657,1440,469,216,516,216,422,252,540,216,0,1620
493,252,493,432,375,432,328,648,328,828,633,432,680,612,727,864,446,828,446,1152,469,1440,610,828,633,1152,657,1440,469,216,516,216,422,252,540,216,0,1620
469,252,493,432,375,432,328,648,328,828,633,432,680,612,727,828,446,828,446,1152,469,1440,610,828,633,1152,657,1440,446,216,516,216,422,252,540,216,0,1620
469,252,493,432,375,432,328,648,328,828,633,432,680,612,727,828,446,828,446,1152,469,1440,586,828,633,1152,657,1440,446,216,493,216,422,252,540,216,0,1620
469,252,493,432,375,432,328,648,328,828,610,432,680,612,727,828,446,828,446,1152,469,1440,586,828,633,1152,657,1440,446,216,493,216,422,252,540,216,0,1620
469,252,493,432,375,432,328,648,727,828,610,432,680,612,727,828,446,828,446,1152,469,1440,586,828,633,1152,657,1440,446,216,493,216,422,252,540,216,0,1620
469,252,493,432,375,432,328,648,328,864,610,432,680,648,727,864,446,828,446,1152,469,1440,586,828,633,1152,657,1440,446,216,493,216,422,252,540,216,0,1620
469,252,493,432,375,432,328,648,328,864,610,432,680,648,704,828,446,828,446,1152,469,1440,586,828,633,1152,657,1440,446,216,493,216,422,252,540,216,0,1620
469,252,493,432,375,432,328,648,328,864,610,432,680,648,704,828,446,828,446,1152,469,1440,586,828,633,1152,657,1440,446,216,493,216,422,252,540,216,0,1620
469,252,493,432,352,468,328,648,328,864,610,432,680,648,704,828,446,864,446,1152,469,1440,586,828,633,1152,657,1440,446,216,493,216,422,252,540,252,0,1620
469,252,493,432,375,468,328,648,328,864,610,432,680,648,704,828,446,828,446,1152,469,1440,586,828,633,1152,657,1440,446,216,493,216,422,252,540,252,0,1620
469,252,493,432,375,468,328,684,328,864,610,432,680,648,704,828,446,828,446,1152,657,1440,586,828,633,1152,469,1440,446,216,493,216,422,252,540,216,0,1620
469,252,493,432,375,432,328,648,328,864,610,432,680,648,680,864,446,864,446,1152,657,1440,586,828,633,1152,469,1440,446,216,493,216,399,252,540,252,0,1620
469,252,493,432,375,432,328,648,328,864,610,432,680,648,680,864,446,864,446,1116,469,1440,586,828,633,1152,657,1440,446,216,493,216,399,252,540,252,0,1620
469,252,469,432,375,432,328,648,328,864,610,432,680,648,680,864,446,864,446,1116,469,1440,586,828,633,1188,657,1440,446,216,493,216,399,252,540,252,0,1620
469,252,469,432,352,468,328,648,328,864,610,432,680,648,680,864,422,864,446,1152,469,1440,563,828,633,1188,657,1440,446,216,493,216,399,252,540,252,0,1620
469,252,469,432,352,468,328,684,328,864,610,432,657,648,680,828,422,864,446,1152,469,1440,563,828,633,1188,657,1440,446,216,493,216,399,252,516,252,0,1620
446,252,469,432,352,468,328,684,305,864,610,432,657,648,680,864,422,864,446,1116,469,1440,563,828,633,1152,657,1440,446,216,469,216,399,252,516,252,0,1620
446,252,469,432,352,468,328,684,305,864,610,432,657,648,680,864,422,864,422,1152,469,1440,563,828,610,1152,657,1440,422,252,469,216,399,252,516,252,0,1620
446,252,469,432,352,468,328,684,305,864,586,432,657,648,680,864,422,864,422,1152,469,1440,563,828,610,1152,657,1440,422,252,469,252,399,252,516,252,0,1620
446,252,469,432,352,468,328,684,305,864,586,432,657,648,680,864,422,864,422,1152,469,1440,563,828,610,1188,657,1440,422,252,469,216,399,252,516,252,0,1620
446,252,446,432,352,468,328,684,305,864,586,432,657,648,680,864,422,864,422,1152,469,1440,563,828,610,1188,657,1440,422,252,469,252,375,252,516,252,0,1620
446,252,446,432,328,468,305,684,305,900,586,432,657,648,680,864,422,864,422,1152,469,1440,563,828,610,1152,657,1440,422,252,469,252,375,252,493,252,0,1620
422,288,446,432,328,468,305,684,305,900,586,432,633,648,680,864,399,864,422,1188,469,1440,563,828,610,1152,657,1440,422,252,446,252,375,288,493,252,0,1620
422,288,446,432,328,468,305,684,305,900,563,432,633,648,680,864,399,864,422,1188,469,1440,563,828,610,1152,633,1440,399,252,446,252,375,252,493,252,0,1620
422,288,446,432,328,468,305,684,281,900,563,432,633,648,680,864,399,864,422,1188,469,1440,563,864,610,1152,633,1404,399,252,446,252,375,252,493,252,0,1620
422,288,446,432,328,468,305,684,680,864,563,432,633,648,680,864,399,864,422,1188,633,1404,563,864,610,1188,469,1440,399,252,446,252,375,288,493,252,0,1620
422,288,446,432,305,468,305,684,680,864,563,432,633,648,0,0,399,864,422,1188,469,1440,563,864,610,1188,610,1404,399,252,446,252,375,288,493,252,0,1620
422,288,446,432,305,468,305,684,680,864,563,432,633,648,0,0,399,864,422,1188,469,1440,563,864,610,1188,610,1404,399,252,446,252,375,288,493,252,0,1620
422,288,446,432,305,468,305,684,680,864,563,432,633,648,0,0,399,864,422,1188,469,1440,563,828,610,1188,610,1404,399,252,446,252,375,288,493,252,0,1620
422,288,446,432,305,468,305,684,680,864,563,432,633,648,0,0,399,864,422,1188,469,1440,563,828,610,1188,610,1404,399,252,446,252,375,288,493,252,0,1620
422,288,446,432,305,468,305,684,281,900,563,432,633,648,0,0,399,864,422,1188,469,1440,563,828,610,1188,610,1440,399,252,446,252,375,288,493,252,0,1620
422,288,446,432,305,468,305,684,680,864,540,432,610,648,0,0,399,864,610,1188,469,1440,563,828,422,1188,469,1440,399,252,446,252,375,288,493,252,0,1620
422,288,446,468,305,468,281,684,680,864,563,432,633,648,0,0,399,864,610,1188,610,1404,563,828,422,1188,469,1440,399,252,446,252,375,288,493,252,0,1620
422,288,446,468,305,468,281,684,704,864,563,468,633,648,680,864,399,864,610,1188,610,1404,563,828,422,1188,469,1440,399,252,446,252,375,288,493,252,0,1620
422,288,446,468,305,468,281,684,305,900,563,468,633,648,680,864,399,864,610,1188,610,1404,563,828,422,1188,469,1440,399,252,446,252,375,288,493,288,0,1620
422,288,446,468,305,468,281,684,305,900,563,468,633,648,680,864,399,864,610,1188,610,1440,563,828,422,1188,469,1440,422,252,446,252,375,288,493,288,0,1620
422,288,446,468,305,468,281,720,305,864,563,468,633,648,680,864,422,864,610,1188,610,1404,563,828,422,1188,469,1440,422,288,446,288,375,288,493,288,0,1620
446,288,446,468,305,468,281,720,305,864,563,468,633,648,680,864,422,864,610,1188,610,1404,563,828,422,1188,469,1440,422,288,469,288,375,288,493,288,0,1620
446,324,446,468,305,468,305,720,305,864,563,468,633,648,680,864,422,864,610,1188,633,1404,563,828,422,1152,469,1404,422,288,469,288,375,288,493,288,0,1620
446,324,446,468,328,468,305,720,328,864,563,468,633,648,680,864,422,864,610,1188,633,1404,563,828,422,1152,469,1404,422,288,469,288,375,288,493,288,0,1620
446,324,446,468,328,468,305,720,328,864,563,468,633,648,680,864,422,864,610,1188,633,1404,563,828,422,1188,469,1404,422,288,469,288,375,288,516,288,0,1620
446,324,446,468,328,468,305,720,328,864,586,468,633,648,680,864,422,864,610,1152,469,1404,563,828,422,1188,633,1440,422,288,469,288,399,288,516,288,0,1620
446,324,469,468,328,504,305,720,328,864,586,468,633,684,680,864,422,864,610,1152,633,1440,563,828,422,1188,469,1404,446,288,469,288,399,324,516,288,0,1620
469,324,469,468,328,504,305,720,352,864,586,468,633,684,680,864,422,864,610,1152,633,1440,563,828,422,1188,469,1404,446,288,493,288,399,324,516,324,0,1620
469,324,469,468,328,504,305,720,352,864,586,468,633,648,680,864,422,864,610,1152,633,1440,563,828,422,1188,469,1404,446,324,493,324,399,324,540,324,0,1620
469,324,469,468,352,504,305,720,352,864,586,468,633,684,680,864,446,864,610,1188,657,1440,586,864,422,1188,469,1404,446,324,493,324,422,324,540,324,0,1620
493,360,469,468,352,504,305,720,352,864,586,468,657,684,704,864,422,864,422,1152,657,1440,586,864,610,1152,469,1404,469,324,516,324,422,324,540,324,0,1620
493,360,493,504,352,504,328,720,375,900,610,504,657,684,704,900,422,864,610,1152,657,1440,586,864,610,1152,469,1404,469,324,516,324,422,324,540,324,0,1620
493,360,493,504,352,504,328,720,375,900,610,504,657,684,704,900,446,864,610,1188,657,1440,586,828,610,1152,657,1476,469,324,516,324,422,324,563,324,0,1620
493,360,493,504,375,504,328,720,375,900,610,504,657,684,704,900,446,864,610,1188,633,1440,586,828,446,1152,657,1476,469,324,516,324,446,360,563,324,0,1620
516,360,493,504,375,504,328,720,375,900,610,504,657,684,704,900,446,864,633,1188,633,1440,586,864,446,1188,446,1368,493,324,540,324,446,360,563,324,0,1620
516,360,493,504,375,504,352,720,375,900,610,504,657,684,704,900,469,900,633,1188,657,1440,586,864,446,1188,446,1368,493,324,540,324,446,360,563,324,0,1620
516,360,516,504,375,504,352,720,375,900,633,504,657,684,704,900,469,864,633,1188,657,1440,586,864,446,1188,446,1368,493,324,540,324,446,360,586,324,0,1620
516,360,516,504,375,504,352,756,352,900,633,504,657,684,727,900,469,864,633,1188,657,1440,610,864,446,1188,446,1368,493,324,540,324,446,360,586,324,0,1620
516,360,516,504,399,504,352,720,352,900,633,504,680,684,727,900,469,864,446,1152,657,1440,610,864,633,1188,657,1440,493,324,540,324,469,324,586,324,0,1620
540,360,516,504,399,504,352,720,352,900,633,504,680,684,727,900,469,864,446,1152,657,1440,610,864,633,1188,657,1476,516,324,563,324,469,324,586,324,0,1620
540,324,516,504,399,504,352,720,352,900,633,504,680,684,727,900,469,864,446,1152,446,1332,610,864,633,1188,657,1440,516,324,563,324,469,324,586,324,0,1620
540,324,516,468,399,504,352,720,352,900,633,504,680,684,727,900,469,864,446,1152,446,1332,610,864,633,1188,657,1440,516,324,563,324,469,324,586,324,0,1620
540,324,516,468,399,504,375,684,352,900,633,468,680,684,727,900,469,864,469,1152,469,1332,610,864,633,1188,657,1440,516,288,563,288,469,324,586,324,0,1620
