NoseX,NoseY,NeckX,NeckY,RShoulderX,RShoulderY,RElbowX,RElbowY,RWristX,RWristY,LShoulderX,LShoulderY,LElbowX,LElbowY,LWristX,LWristY,RHipX,RHipY,RKneeX,RKneeY,RAnkleX,RAnkleY,LHipX,LHipY,LKneeX,LKneeY,LAnkleX,LAnkleY,REyeX,REyeY,LEyeX,LEyeY,REarX,REarY,LEarX,LEarY,BackgroundX,BackgroundY
0,0,563,751,657,751,680,918,657,1085,469,751,446,876,422,1085,610,1043,586,1210,493,1419,493,1043,493,1252,586,1460,0,0,563,584,610,626,516,626,0,0
0,0,563,751,657,751,680,918,657,1085,469,751,422,876,422,1085,610,1043,586,1210,493,1419,493,1043,493,1252,586,1460,0,0,563,584,610,626,516,626,23,1794
563,626,563,751,657,751,680,918,0,0,469,751,446,876,422,1085,610,1043,610,1210,493,1419,493,1043,493,1252,586,1460,563,584,563,584,610,626,516,626,23,1794
540,626,563,751,657,751,680,918,0,0,469,751,446,876,422,1085,610,1043,610,1210,493,1419,493,1043,493,1252,586,1460,540,584,563,584,610,626,610,626,23,1794
563,626,563,751,657,751,657,918,0,0,469,751,422,876,657,1085,610,1043,493,1252,493,1419,493,1043,586,1252,586,1460,540,584,563,584,0,0,610,626,23,1794
540,626,563,751,657,751,680,918,0,0,469,751,422,876,422,1043,610,1043,493,1252,493,1419,493,1043,586,1252,586,1460,0,0,563,584,610,626,610,626,1033,41
540,626,563,751,657,751,680,918,0,0,469,751,422,876,422,1043,610,1043,610,1252,493,1419,493,1043,493,1252,586,1460,0,0,563,584,610,626,516,626,23,1794
0,0,563,751,657,751,680,918,0,0,469,751,422,876,422,1043,610,1043,493,1252,493,1419,493,1043,586,1252,586,1460,0,0,563,584,610,626,516,626,1033,41
0,0,563,751,657,751,680,918,0,0,469,751,422,876,422,1085,610,1043,493,1252,493,1419,493,1043,586,1252,586,1460,0,0,563,584,610,626,516,626,1033,41
0,0,563,751,657,751,680,918,657,1085,469,751,422,876,422,1043,610,1043,493,1252,493,1419,493,1043,586,1252,586,1460,0,0,0,0,610,626,516,626,1033,41
0,0,563,751,657,751,680,918,0,0,469,751,422,876,422,1043,610,1043,493,1252,493,1419,493,1043,586,1252,586,1460,0,0,0,0,610,626,516,626,0,0
0,0,563,751,657,751,680,918,657,1085,469,751,422,876,422,1043,610,1043,610,1252,493,1419,493,1043,493,1252,586,1460,0,0,0,0,610,626,516,626,0,0
0,0,563,751,657,751,680,918,657,1085,469,751,422,876,422,1043,610,1043,586,1252,493,1419,493,1043,493,1252,586,1460,0,0,0,0,610,626,516,626,0,0
563,626,563,751,657,751,680,918,422,1043,469,751,422,876,657,1085,610,1043,493,1252,493,1419,610,1043,586,1252,586,1460,0,0,563,626,610,626,610,626,0,0
563,626,563,751,469,751,422,876,422,1043,657,751,680,960,657,1085,493,1043,493,1252,493,1419,610,1043,586,1252,586,1460,540,626,563,626,0,0,610,626,1033,41
563,626,563,751,469,751,422,876,422,1043,657,751,680,960,657,1085,493,1043,493,1252,493,1419,610,1043,586,1252,586,1460,540,626,563,626,610,626,610,626,0,0
563,626,563,751,469,751,422,876,422,1085,657,751,680,918,657,1085,493,1043,493,1252,493,1419,610,1043,586,1252,586,1460,540,626,563,626,516,626,610,626,0,0
